serie,modele,graine,R2_oos_%,IC_spearman,sharpe_net,DM_pvalue
signal,moyenne_historique,0,-0.08065729887627437,-0.0223341222305519,-0.33875112060455603,0.9553475873076613
signal,ridge,0,0.8471580182462413,0.07187758004123859,0.9383378067150038,0.001027531021428385
signal,gradient_boosting,0,0.11380426387743725,0.049754089933306066,0.44584398850048845,0.4084282376811579
signal,oracle,0,1.4677047823753897,0.09804369487059303,1.0956767248967831,0.00020201247592688265
placebo,moyenne_historique,0,-0.020055877934321842,-0.016804418282388957,0.16443700459720378,0.6949057153908251
placebo,ridge,0,-0.03207211807423338,-0.02081560964171135,0.1706627059372403,0.7885614697166416
placebo,gradient_boosting,0,-1.3072216916304669,-0.017666227190960327,-0.4594497545034791,0.9998797118010174
signal,moyenne_historique,1,-0.025333812629613206,-0.0045477146793225925,-0.3024095652630664,0.7520579394890758
signal,ridge,1,0.2424520845925926,0.049240355820522615,0.42476226483200286,0.11082890935829415
signal,gradient_boosting,1,-0.504060873609502,0.0353349595344601,0.40487438392590486,0.8616947501787446
signal,oracle,1,0.7614825383619239,0.07988977336704271,1.229143329073615,0.011888872683515461
placebo,moyenne_historique,1,-0.05783119128792702,-0.004606129834115259,-0.3513174442658247,0.7994299606550019
placebo,ridge,1,-0.055790406087674604,-0.0044482823783993835,-0.22342232618341398,0.7884033097415921
placebo,gradient_boosting,1,-1.283970990942196,-0.02384437549690449,-0.4381480506955814,0.9999441574699761
signal,moyenne_historique,2,0.015111042191484625,-0.019188369099847804,0.30698689569690896,0.44772437913478325
signal,ridge,2,0.5387602535161018,0.073886134932337,1.1458858140032528,0.06300516959642921
signal,gradient_boosting,2,-1.1422759598055388,0.0314278944859371,0.5587390706830158,0.9844461842300513
signal,oracle,2,0.650601291130104,0.0848086647995455,1.198991141451847,0.023715480609062034
placebo,moyenne_historique,2,-0.013906344812686378,-0.010389334736891,0.24179766422005855,0.5403331926193681
placebo,ridge,2,-0.20907313289573182,0.002022691474756358,-0.11445126670823254,0.8255722854805007
placebo,gradient_boosting,2,-1.7325186564737693,-0.005305714753972987,-0.022946041070109127,0.999933011913656
signal,moyenne_historique,3,-0.04593853889869326,0.004981497006366349,0.1343567143276499,0.8373334905214473
signal,ridge,3,0.5368116796979017,0.06184528823111321,0.8346193108916852,0.00858082382724945
signal,gradient_boosting,3,-0.34300287928461515,0.04554809854274331,0.2947568767999445,0.7729313482387163
signal,oracle,3,0.8566210984361167,0.07076121710803646,0.7534526068068397,0.011050227418551328
placebo,moyenne_historique,3,-0.031166578269403722,-0.043273607529473866,-0.3055814149939305,0.9819781881472528
placebo,ridge,3,-0.02519819616515484,-0.03512061084473602,-0.6086416770391335,0.9454810708069801
